"",,,,Pág: 1
"",,,LOURENCO E SILVA LTDA,
"",,,CNPJ : 07626439000173 IE : 152496416,
"",,,9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"",,,"paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",,,CENTRO,
"",,,01/10/2025 07:40:32,
"",,,Lista de preços,
Tabela Preço : PADRÃO,,,Tipo de Saldo : Geral,
Descrição,,Ncm,No. Fabricante Fabricante Emp UN Estoque,Vlr. Venda
56004 - 11159-C33 - TORNEIRA COZINHA,,84818011,"9937586 MARCHEZAN 1 UN 3,00","80,89"
PAREDE VEDACAO PRESS,,,,
56045 - 1168 F61 PR TORN COZ PAR FITT,,84818019,"LORENZETTI 1 UN -3,00","64,19"
CX/0004,,,,
56044 - 1195 F61 PR TORN LAVAT BA FITT,,84818019,"LORENZETTI 1 UN 1,00","64,19"
CX/0004,,,,
56006 - 1416 1/2-C33 - REGISTRO PRESSAO,,84818095,"MARCHEZAN 1 UN 3,00","51,68"
VEDANTE DN15,,,,
56007 - 1509 3/4-C33 (SACO PLASTICO) -,,84818093,"MARCHEZAN 1 UN -7,00","85,11"
REGISTRO GAVETA LUXO DN20,,,,
56005 - 16046 - MECANISMO-VED.P/ TORN. PIST.,,84818011,"150015 MARCHEZAN 1 UN 0,00","29,26"
AMARELO,,,,
56001 - 16048 - MECANISMO-VED.P/ REG. 1416,,84818011,"150002 MARCHEZAN 1 UN 7,00","28,22"
PIST. AMARELO,,,,
56000 - 16049 - MECANISMO-MVS.P/ REG. 1414,,84818011,"150004 MARCHEZAN 1 UN 11,00","30,39"
PIST. AMARELO,,,,
56306 - 16149 - MECANISMO-MVS.P/ REG.1414,,84818011,"MARCHEZAN 1 UN 16,00","32,60"
PIST. CROMADO,,,,
56150 - 1654 CRUZETA C33 CROM.,,84818019,"11985 AGUIA 1 UN 5,00","18,37"
56003 - 33318 - DUCHA FRIA ARTICULADO 70MM,,84818019,"9941114 MARCHEZAN 1 UN 3,00","88,46"
ATENAS,,,,
55997 - 4790-C80 - TORNEIRA LAVATORIO,,84818011,"9934838 MARCHEZAN 1 UN 5,00","95,47"
BANCADA 90° BICA MO,,,,
55998 - 4795-C80 - TORNEIRA COZINHA,,84818011,"MARCHEZAN 1 UN 1,00","88,50"
BANCADA 90° BICA MOVEL VEDACAO NAO,,,,
COMPRESSIVEL 1/4 VOLTA,,,,
56002 - 6000 - KIT ACESSORIOS P/ BANHEIRO,,76152000,"38412 MARCHEZAN 1 UN 0,00","192,99"
ENCANTO,,,,
55999 - 9499 -C80 - TORN. COZINHA BANCADA,,84818011,"9937490 MARCHEZAN 1 UN 4,00","112,91"
GOURMET DUPLA F,,,,
27049 - ABAFADOR AUDIT PLUG SILIC - KALIPSO,,82055900,"920646 NOVA DISTR 1 UN 81,81","1,83"
53238 - ABAFADOR AUDITIVA - DELTAPLUS,,40159000,"190401 NOVA DISTR 1 UN -6,00","13,93"
55745 - ABRACAD INOX 13-19MM C/BORBOLETA,,73269090,"022273 TAMBASA AT 1 UN 26,00","3,04"
50661 - ABRACAD. ACO LAMP FLU 20/40/110 T8,,73269090,"180130 TAMBASA AT 1 UN 79,00","2,31"
"56588 - ABRACADEIRA (3/4"") (VERDE) 4G/5G",,84139190,"50200 ANAUGER 1 UN 9,00","12,10"
37508 - ABRACADEIRA ARGOLA 83-10 INCA,,73269090,"CENTER MAT 1 UN 9,00","5,93"
55706 - ABRACADEIRA BORBOLETA 19X27,,73269090,"0515.019.027 LOTUS 1 UN -52,00","4,58"
39993 - ABRACADEIRA CABIDEIRA GRANDE,,73269090,"CENTER MAT 1 UN 2,00","0,64"
40002 - ABRACADEIRA CABIDEIRA PEQUENA,,73269090,"CENTER MAT 1 UN 53,00","0,51"
40231 - ABRACADEIRA COLORIDA 10CM,,39269090,"57440/928 TRAMONTINA 1 UN 0,00","0,08"
40240 - ABRACADEIRA COLORIDA 15CM,,39269090,"57440/915 TRAMONTINA 1 UN -16,00","0,28"
"53462 - ABRACADEIRA COLORIDA 9,5CM",,39269090,"57440/909 TRAMONTINA 1 UN 0,00","0,32"
54316 - ABRACADEIRA INOX BORBOLETA 13-23,,73269090,"3710 LOTUS 1 UN -101,00","2,86"
54315 - ABRACADEIRA INOX BORBOLETA 14-27,,73269090,"3711 LOTUS 1 UN 234,00","2,98"
54314 - ABRACADEIRA INOX BORBOLETA 18-32,,73269090,"3712 LOTUS 1 UN 172,00","3,04"
55181 - ABRACADEIRA MANGOTE 1.1/2¿,,73269090,"45403 NEGRAO 1 UN 10,00","20,00"
48X56MM,,,,
55182 - ABRACADEIRA MANGOTE 1.1/4¿,,73269090,"45411 NEGRAO 1 UN 10,00","18,96"
39X47MM,,,,
"56246 - ABRACADEIRA NYLON 12,5X600MM",,39269090,"4202194 FOXLUX 1 CD 0,00","2,07"
"53434 - ABRACADEIRA NYLON 2,5X100MM",,39269090,"422851 FOXLUX 1 UN 0,00","0,11"
"54919 - ABRACADEIRA NYLON 2,5X120MM",,39269090,"149160 FOXLUX 1 UN 0,00","0,36"
"53435 - ABRACADEIRA NYLON 2,5X140MM",,39269090,"37185 FOXLUX 1 UN 0,00","0,33"
"53436 - ABRACADEIRA NYLON 2,5X150MM",,39269090,"422657 FOXLUX 1 UN 0,00","0,12"
"54921 - ABRACADEIRA NYLON 2,5X80MM",,39269090,"149454 FOXLUX 1 UN 0,00","0,19"
"55453 - ABRACADEIRA NYLON 3,5X200MM",,39269090,"4201864 FOXLUX 1 UN -4,00","0,29"
Usuário CLAUDIO FILHO,,,1 / 184 Eptus ERP Enterprise v.6.04.01.001,
"",,Pág: 2
"",LOURENCO E SILVA LTDA,
"",CNPJ : 07626439000173 IE : 152496416,
"",9491199073 94991199073 CANAÃ DOS CARAJÁS / PA,
"","paulistamconstrucoes@hotmail.com AVENIDA DOS PIONEIROS, 126-B",
"",CENTRO,
"",01/10/2025 07:40:32,
"",Lista de preços,
"54922 - ABRACADEIRA NYLON 3,6X150MM","39269090 149403 FOXLUX 1 UN 0,00","0,50"
"54333 - ABRACADEIRA NYLON 3,6X200MM","39269090 149136 FOXLUX 1 UN 0,00","0,45"
"54331 - ABRACADEIRA NYLON 3,6X300MM","39269090 897760 FOXLUX 1 UN -20,00","0,52"
"25488 - ABRACADEIRA NYLON 4,8X200MM","39269090 4202184 FOXLUX 1 UN 9,00","18,37"
"55773 - ABRACADEIRA NYLON 4,8X280MM","39269090 4201867 FOXLUX 1 UN 0,00","0,53"
"55774 - ABRACADEIRA NYLON 4,8X280MM","39269090 002522 FOXLUX 1 UN 0,00","0,56"
"46884 - ABRACADEIRA NYLON 4,8X300MM","39269090 4201853 FOXLUX 1 UN 9,00","33,87"
"54923 - ABRACADEIRA NYLON 7,2X400MM","39269090 072570 FOXLUX 1 UN 0,00","1,08"
"55300 - ABRACADEIRA NYLON 7,6X400MM","39269090 40333 FOXLUX 1 UN 4,00","32,94"
"52783 - ABRACADEIRA P/LACRE 3,5X140MM BR","39269090 18.04 FOXLUX 1 UN 21,00","0,13"
"51510 - ABRACADEIRA P/LACRE 3,6X150MM BR","39269090 72378 TAMBASA AT 1 UN 634,00","0,16"
"52784 - ABRACADEIRA P/LACRE 4,8X200MM PT","39269090 52028 FOXLUX 1 UN -235,00","0,35"
"38920 - ABRACADEIRA P/LACRE 4,8X300MM","39269090 72566 TAMBASA AT 1 UN -116,00","0,48"
BCO,,
"52567 - ABRACADEIRA P/LACRE 4,8X370MM BR","39269090 72385 TAMBASA AT 1 UN 63,00","0,67"
"38156 - ABRACADEIRA P/LACRE 7,6X400MM BR","39269090 72386 TAMBASA AT 1 UN -25,00","1,26"
53787 - ABRACADEIRA RSF 108A121 4.1/4X4.3/4,"73269090 51748 NEGRAO 1 UN -10,00","5,52"
12491 - ABRACADEIRA RSF 13A19MM 1/2X3/4,"73269090 022273 TAMBASA AT 1 UN 314,00","2,87"
45160 - ABRACADEIRA RSF 19A25MM 3/4X1,"73269090 17058 TAMBASA AT 1 UN 230,00","3,65"
51509 - ABRACADEIRA RSF 22A32MM 7/8X1.1/4,"73269090 054211 TAMBASA AT 1 UN 31,00","4,46"
12483 - ABRACADEIRA RSF 25A38MM 1X1.1/2,"73269090 51420 TAMBASA AT 1 UN 80,00","5,56"
1589 - ABRACADEIRA RSF 38A51MM 1.1/2X2,"73269090 2360 TAMBASA AT 1 UN 389,00","3,05"
1570 - ABRACADEIRA RSF 51A64MM 2X2.1/2,"73269090 004145 TAMBASA AT 1 UN 129,00","7,35"
22241 - ABRACADEIRA RSF 64A76MM 2.1/2X3,"73269090 004012 TAMBASA AT 1 UN 175,00","9,83"
46892 - ABRACADEIRA RSF 76A89MM 3X3.1/2,"73269090 04014 TAMBASA AT 1 UN 62,00","7,31"
45667 - ABRACADEIRA TIPO D 1.1/2 C/CUNHA,"73261900 3100386 TAMBASA AT 1 UN 95,00","5,96"
22225 - ABRACADEIRA TIPO D 1/2¿ C/CUNHA,"73089090 406350 TAMBASA AT 1 UN 181,00","2,75"
34290 - ABRACADEIRA TIPO D 1¿ C/CUNHA,"73261900 3100385 TAMBASA AT 1 UN 199,00","3,60"
53351 - ABRACADEIRA TIPO D 2¿ C/CUNHA,"73269090 79291 TAMBASA AT 1 UN 20,00","5,56"
22233 - ABRACADEIRA TIPO D 3/4¿ C/CUNHA,"73261900 054214 TAMBASA AT 1 UN 74,00","3,10"
35637 - ABRACADEIRA TIPO MANGOTE 1.1/2 48-,"73089090 NEGRAO 1 UN 46,00","6,36"
5,,
35645 - ABRACADEIRA TIPO MANGOTE 1.1/4 35-,"73261900 25338 NOVA DISTR 1 UN 10,00","5,85"
4,,
16594 - ABRACADEIRA TIPO U 1.1/2¿,"73269090 004032 TAMBASA AT 1 UN 299,00","2,21"
12556 - ABRACADEIRA TIPO U 1.1/4¿,"73269090 18802 TAMBASA AT 1 UN -32,00","1,53"
1600 - ABRACADEIRA TIPO U 1/2¿,"73269090 17072 TAMBASA AT 1 UN 334,00","2,20"
1597 - ABRACADEIRA TIPO U 1¿,"73269090 17074 TAMBASA AT 1 UN 185,00","2,29"
48160 - ABRACADEIRA TIPO U 2.1/2¿,"73269090 20329 NEGRAO 1 UN 53,00","2,78"
12564 - ABRACADEIRA TIPO U 2¿,"73261900 454478 TAMBASA AT 1 UN 51,00","3,51"
45675 - ABRACADEIRA TIPO U 3.1/2¿,"73269090 4916 TAMBASA AT 1 UN 150,00","4,94"
1619 - ABRACADEIRA TIPO U 3/4¿,"73269090 52477 TAMBASA AT 1 UN 138,00","1,12"
32948 - ABRACADEIRA TIPO U 3¿,"73071990 ORCA DISTR 1 UN 248,00","1,69"
32956 - ABRACADEIRA TIPO U 4¿,"73269090 4920 MARTINS 1 UN 150,00","5,65"
42277 - ACABAMENTO - ACB P CS 33,"84819090 ACB P CS 33 ICO METAL 1 UN 0,00","54,26"
51639 - ACABAMENTO 1/2¿ A 1¿ DOCOLINOVA,"84819010 00616706 DOCOL 1 UN 0,00","31,02"
52284 - ACABAMENTO 1/2¿ A 1¿ ITAPEMA BELLA,"84819010 58360 DOCOL 1 UN 2,00","38,39"
51635 - ACABAMENTO 1/2¿ A 1¿ LOGGICA,"84819090 55265 DOCOL 1 UN 1,00","57,58"
